second,Volt
-61.000E-03,-4.100E-03
-60.900E-03,-2.609E-03
-60.800E-03,-2.235E-03
-60.700E-03,-4.020E-03
-60.600E-03,-4.453E-03
-60.500E-03,+684E-06
-60.400E-03,-3.192E-03
-60.300E-03,-4.020E-03
-60.200E-03,-3.811E-03
-60.100E-03,-7.868E-03
-60.000E-03,-4.020E-03
-59.900E-03,-3.284E-03
-59.800E-03,-819E-06
-59.700E-03,-6.822E-03
-59.600E-03,-6.030E-03
-59.500E-03,-4.020E-03
-59.400E-03,-3.683E-03
-59.300E-03,-5.732E-03
-59.200E-03,-5.395E-03
-59.100E-03,+11.243E-03
-59.000E-03,-4.020E-03
-58.900E-03,-6.030E-03
-58.800E-03,-11.786E-03
-58.700E-03,-1.905E-03
-58.600E-03,-2.476E-03
-58.500E-03,-5.045E-03
-58.400E-03,-5.523E-03
-58.300E-03,-8.005E-03
-58.200E-03,-3.490E-03
-58.100E-03,-4.981E-03
-58.000E-03,-6.915E-03
-57.900E-03,-76E-06
-57.800E-03,-3.200E-03
-57.700E-03,-4.917E-03
-57.600E-03,-3.642E-03
-57.500E-03,+1.588E-03
-57.400E-03,-3.988E-03
-57.300E-03,-4.852E-03
-57.200E-03,-7.413E-03
-57.100E-03,-4.430E-03
-57.000E-03,-8.201E-03
-56.900E-03,-4.788E-03
-56.800E-03,-249E-06
-56.700E-03,-5.761E-03
-56.600E-03,-5.242E-03
-56.500E-03,-2.010E-03
-56.400E-03,-5.660E-03
-56.300E-03,-16.089E-03
-56.200E-03,-4.567E-03
-56.100E-03,-3.381E-03
-56.000E-03,-4.020E-03
-55.900E-03,-5.632E-03
-55.800E-03,-5.114E-03
-55.700E-03,-6.030E-03
-55.600E-03,-7.928E-03
-55.500E-03,-4.020E-03
-55.400E-03,-4.020E-03
-55.300E-03,-6.509E-03
-55.200E-03,-2.018E-03
-55.100E-03,-1.580E-03
-55.000E-03,-5.065E-03
-54.900E-03,-4.466E-03
-54.800E-03,-39.260E-03
-54.700E-03,-2.010E-03
-54.600E-03,-3.329E-03
-54.500E-03,-1.628E-03
-54.400E-03,-6.030E-03
-54.300E-03,-7.385E-03
-54.200E-03,-5.194E-03
-54.100E-03,-4.338E-03
-54.000E-03,+201E-06
-53.900E-03,-5.310E-03
-53.800E-03,-4.487E-03
-53.700E-03,-7.787E-03
-53.600E-03,-4.286E-03
-53.500E-03,-2.794E-03
-53.400E-03,-6.030E-03
-53.300E-03,-2.199E-03
-53.200E-03,-2.670E-03
-53.100E-03,-5.182E-03
-53.000E-03,-6.030E-03
-52.900E-03,-4.145E-03
-52.800E-03,-4.020E-03
-52.700E-03,-4.020E-03
-52.600E-03,-2.863E-03
-52.500E-03,-2.130E-03
-52.400E-03,-6.489E-03
-52.300E-03,-4.997E-03
-52.200E-03,-3.506E-03
-52.100E-03,-4.016E-03
-52.000E-03,-4.543E-03
-51.900E-03,-11.310E-03
-51.800E-03,-3.120E-03
-51.700E-03,-2.147E-03
-51.600E-03,-3.184E-03
-51.500E-03,-4.020E-03
-51.400E-03,-3.634E-03
-51.300E-03,-5.897E-03
-51.200E-03,-4.020E-03
-51.100E-03,-4.020E-03
-51.000E-03,-6.030E-03
-50.900E-03,-4.217E-03
-50.800E-03,-1.432E-03
-50.700E-03,-4.162E-03
-50.600E-03,-4.277E-03
-50.500E-03,-3.759E-03
-50.400E-03,-7.260E-03
-50.300E-03,-6.618E-03
-50.200E-03,-4.020E-03
-50.100E-03,-5.052E-03
-50.000E-03,-3.699E-03
-49.900E-03,-6.746E-03
-49.800E-03,-2.138E-03
-49.700E-03,-4.020E-03
-49.600E-03,-6.223E-03
-49.500E-03,-2.010E-03
-49.400E-03,-2.074E-03
-49.300E-03,-4.475E-03
-49.200E-03,-13.352E-03
-49.100E-03,-7.067E-03
-49.000E-03,-8.039E-03
-48.900E-03,-6.030E-03
-48.800E-03,-5.058E-03
-48.700E-03,-5.122E-03
-48.600E-03,-4.020E-03
-48.500E-03,-2.593E-03
-48.400E-03,-6.030E-03
-48.300E-03,-4.020E-03
-48.200E-03,-2.139E-03
-48.100E-03,-4.668E-03
-48.000E-03,-1.688E-03
-47.900E-03,-2.661E-03
-47.800E-03,-4.020E-03
-47.700E-03,-4.732E-03
-47.600E-03,-2.790E-03
-47.500E-03,-5.769E-03
-47.400E-03,-4.020E-03
-47.300E-03,+915E-06
-47.200E-03,-4.155E-03
-47.100E-03,-6.227E-03
-47.000E-03,-8.362E-03
-46.900E-03,-6.871E-03
-46.800E-03,-5.379E-03
-46.700E-03,-5.898E-03
-46.600E-03,-7.189E-03
-46.500E-03,-6.735E-03
-46.400E-03,-8.040E-03
-46.300E-03,-271E-06
-46.200E-03,-4.020E-03
-46.100E-03,-4.918E-03
-46.000E-03,-7.074E-03
-45.900E-03,-6.009E-03
